property_name,property_type,property_description,No_of_bedrooms,No_of_bathrooms,property_location,property_address,Estate_name,property_size,property_condition,Furnishing,price,Agency_fee,No_of_toilets,caution_fee,agency,agent_contact,country,area,specific_area,date_posted,internal_features,external_features,,
5bdrm Maisonette in Zaburi Kiamunyi for rent,Maisonette,"5bedroom Mansion to let in kiamunyi ,sharef compound of 4tenants...",5 bedrooms,5 bathrooms,Not available,Nakuru kabarak road =ã,Zaburi kiamunyi,2000,Detached,Newly-Built,,5,Unfurnished,2000,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet","Balcony

|



Gym

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Electric Fence

|



Borehole

|



Wheelchair Access",,
"2bdrm Apartment in Ngongroad, Kilimani for rent",Apartment,"Two bedroom all ensuite along Ngong Rd close to Junction Mall going for #ksh45k inclusive of service charge
For viewing arrangements contact",2 bedrooms,2 bathrooms,Not available,Ngongroad,Ngongroad,750,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



En Suite

|



Fibre Internet

|



Backup Generator

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gated Community

|



Swimming Pool

|



Staff Quarters

|



Parking

|



Kids Play Area

|



Wheelchair Access",,
3bdrm Townhouse / Terrace in Lavington for Rent,Townhouse / Terrace,"Gorgeous secure 3 bedrooms maisonette that boasts of brilliant dining area separate from lounge that opens to the terrace. Good size kitchen with pantry and opens to the laundry area. Visitors cloakroom on ground floor. Upstairs comes with spectaculars master bedroom ensuite with bathtub and shower. Second and third bedrooms sharing bathroom and with excellent natural lighting and enough wardrobes, one bedroom opening to small balcony. Garage converted into a study or office room. Self-contained dsq for one. Facilities includes children play ground, cctv cameras and 24hrs security. For this and more options contact Lavington Property Management",3 bedrooms,2 bathrooms,Not available,Valley arcade,"12
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



En Suite

|



Fibre Internet

|



Service Charge Included","Balcony

|



CCTV

|



Electric Fence

|



Borehole

|



Parking

|



Staff Quarters",,
3bdrm Apartment in Nyali for Rent,Apartment,"Ambiance three bedroom apartment all ensuite with servant quarter and sea view from the balcony, sitting room and all bedrooms.The apartment is located stone through to the indian ocean and walking distance to naivas and nyali citymall.Parking available,backup genarator and speed lift,vedeo comm , swimming pool and gym.",3 bedrooms,4 bathrooms,Not available,citymall,"2580
     
      sqm",,Unfurnished,No Pets,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet","Balcony

|



Gym

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Electric Fence

|



Borehole

|



Wheelchair Access",,
1bdrm Block of Flats in Maasai Lodge for rent,Block of Flats,"One bedroomed house along Masai lodge area just after african fuels petrol station. parking available.serene environment! ceramic floor tiled. well it.spacious kitchen. toilet cum bathroom.24/7guard. water available full-time. electricity is prepaid.near schools like previous gems,bright star primary, green garden and recently built NIBS college.",1 bedroom,1 bathroom,Not available,Masai lodge,"50
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Backup Generator

|



En Suite

|



Service Charge Included","CCTV

|



Borehole

|



Garden

|



Gym

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



Kids Play Area

|



Pet Friendly",,
4bdrm Townhouse / Terrace in Hardy for rent,Townhouse / Terrace,"Four bedroom house ina gated community, ample parking, spacious rooms, good security and a good immaculated garden rent 250k",4 bedrooms,5 bathrooms,Not available,"Karen, bogani",Unfurnished,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



BBQ

|



Parking

|



Staff Quarters

|



Garden

|



Borehole",,
"1bdrm Apartment in Kokotoni Gardens, Tezo for rent",Apartment,"NEW PROPERTY ALERT
One bedroom 
Gated next to the road and controlled pool access for residents. 
Yes day rooms are available
Next to a coffe/ restaurant and near amenities
This is Tezo Kilifi county 
Just Kshs 50 from Kilifi town by public means. Right to the door step. 
What are you waiting for? 
Guinnesse empowering people.",1 bedroom,1 bathroom,Not available,231-80108,Kokotoni Gardens,1000,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/04/2024,"Aircon

|



Fibre Internet

|



Furnished",CCTV,,
4bdrm Block of Flats in Valley Arcade for rent,Block of Flats,"* 4 bedroom apartment 
* all ensuite 
* very spacious and neat
* swimming pool
* ample parking 
* enough water",4 bedrooms,4 bathrooms,Not available,Muthangari,"120
     
      sqm",,Unfurnished,5,,Not available,Not available,Not available,,Not available,kenya,,,30/03/2024,"Aircon

|



Alarm

|



Backup Generator

|



Walk In Closet

|



En Suite

|



Fibre Internet

|



Service Charge Included","Balcony

|



BBQ

|



Parking

|



CCTV

|



Electric Fence

|



Garden

|



Wheelchair Access

|



Kids Play Area

|



Pet Friendly

|



Gated Community",,
"2bdrm Apartment in Mirema Spring Estate, Zimmerman for Rent",Apartment,Newly built 2bedroom master Ensuit to let at Mirema Spring Estate,2 bedrooms,2 bathrooms,Not available,Mirema drive,Mirema Spring Estate,50,Newly-Built,Unfurnished,,Not available,No Pets,Not available,,Not available,kenya,,,26/03/2024,"Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet

|



Service Charge Included","Balcony

|



CCTV

|



Electric Fence

|



Gym

|



Wheelchair Access

|



Swimming Pool

|



Parking

|



Lift/Elevator",,
2bdrm Apartment in Parklands/Highridge for Rent,Apartment,"Spacious 2bedroom to let at parklands , natural light water and parking available.",2 bedrooms,2 bathrooms,Not available,muranga rd,Unfurnished,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,08/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet","Balcony

|



Gym

|



Kids Play Area

|



Parking

|



BBQ

|



CCTV

|



Staff Quarters

|



Swimming Pool

|



Borehole

|



Wheelchair Access

|



Gated Community

|



Garden",,
"2bdrm Apartment in Kiamunyi, Menengai West for rent",Apartment,"Two bedrooms master ensuite to let in Kiamunyi zaburi, electric fence,borehole on site,100m off the tamac road",2 bedrooms,2 bathrooms,Not available,Nakuru kabarak road,Kiamunyi,500,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



Electric Fence

|



Borehole

|



CCTV

|



Garden

|



Parking

|



Staff Quarters

|



Wheelchair Access

|



Gated Community

|



Kids Play Area",,
"3bdrm Apartment in Wood Avenue, Kilimani for rent",Apartment,"Kilimani ultra modern spacious 3bedroom plus Dsq all en-suite apartment for rent.
- High quality finishes
- Spacious living room
- Separate dining room
- Closed plan fitted kitchen
- Laundry area
- High speed elevators
- Well eqquiped gym
- Full backup generator
- Borehole and Nairobi water
- Ample parking
- CCTV surveillance system
- 24hr security",3 bedrooms,3 bathrooms,Not available,Kilimani Nairobi,Wood Avenue,226,Newly-Built,Semi-Furnished,,Not available,4,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



En Suite

|



Fibre Internet

|



Walk In Closet","Balcony

|



Gated Community

|



Kids Play Area

|



BBQ

|



CCTV

|



Parking

|



Electric Fence

|



Borehole",,
3bdrm Bungalow in Kitengela for rent,Bungalow,"3 Bedroom Bungalow to Let in Kitengela
This Bungalow is located in a safe and secure environment. The house comprises of three spacious bedrooms master bedroom being ensuite with inbuilt wardrobes and a large living room with separate dining area.
Rent: Ksh 35,000",3 bedrooms,3 bathrooms,Not available,Kitengela,Kitengela,150,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Fibre Internet",Not available,,
"5bdrm Townhouse/Terrace in Mutero, Hardy for Rent",Townhouse/Terrace,5bedrooms townhouse gated community 12 houses with swimming pool rent dsqs for 2 rent 300k,5 bedrooms,5 bathrooms,Not available,townhouse gated community of,mutero,500,Renovated,Unfurnished,,Hot Water,Pets Allowed,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



BBQ

|



Parking

|



Staff Quarters

|



Borehole

|



Garden",,
1bdrm Apartment in Runda for Rent,Apartment,"One bedroom guest house with a one sitting room,big kitchen area plus bathroom and toilet.
Situated in well developed Runda the one - bedroom is Renting at 40k",1 bedroom,1 bathroom,Not available,Runda,"500
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet","Balcony

|



Gym

|



Kids Play Area

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Electric Fence

|



Borehole

|



Wheelchair Access",,
2bdrm Apartment in Kilimani for rent,Apartment,"2 bedroom apartment in a serene compound with few units in the compound. All rooms are well lit by natural light through the wide windows. 
Large balcony accessible from the master bedroom and living room. 
Large wash area, open plan kitchen with more than enough storage space. 
Luxurious master bedroom
For more details, call or WhatsApp",2 bedrooms,2 bathrooms,Not available,Valley Arcade,"120
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Backup Generator

|



Alarm

|



En Suite

|



Fibre Internet","BBQ

|



Parking

|



Garden

|



Borehole",,
"4bdrm Maisonette in Greenwood Drive, Nyali Mkomani for rent",Maisonette,"Ambiance 4 bedroom maisonette sitting on 1/2 an acre at nyali Mombasa.Servant quarter , swimming pool ample covered garden,located in a quiet environment surrounded by greener environment.",4 bedrooms,4 bathrooms,Not available,Greenwood drive,Greenwood drive,5000,Detached,Renovated,,4,Unfurnished,100000,,Not available,kenya,,,11/05/2024,"Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Gym

|



Lift/Elevator

|



Parking

|



Swimming Pool",,
"2bdrm Apartment in Makongeni Estate, Thika for rent",Apartment,". Here's why our properties stand out:
1. Impeccable Cleanliness and Maintenance:
Our houses boast cleanliness standards that exceed expectations,
2. Spacious Rooms 
 Experience the luxury of space in our generously sized rooms, designed to accommodate your every need.
3. Convenient Location:
 Situated next to Garissa Road and in close proximity to Makongeni Police Station and Ananas Mall,
4. 24/7 Availability of Water:
 Say goodbye to water woes with our reliable and uninterrupted water supply, available round the clock.
5. Stay Connected with Wi-Fi:
 Stay connected to the world from the comfort of your home with our high-speed Wi-Fi service.
Contact Information:",2 bedrooms,1 bathroom,Not available,makongeni bus park behind  salib supermarket,makongeni estate,15,Newly-Built,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,11/05/2024,"Backup Generator

|



En Suite","Balcony

|



BBQ

|



Garden

|



Parking",,
"1bdrm Apartment in Ndumbuini, Uthiru for rent",Apartment,"Location Ndumbuini near St Stephens ACK church per month plus one time deposit free clean borehole water 24/7. WIfi cables installed.
Call for more information",1 bedroom,1 bathroom,Not available,Ndumbuini St Stephens ACK,Ndumbuini,25,Renovated,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Parking

|



Lift/Elevator

|



Balcony

|



Staff Quarters

|



Swimming Pool",,
2bdrm Apartment in Kilimani for Rent,Apartment," 2 bedroom apartment.
 Master ensuite.
 Swimming pool.
 Gym.
 24/7 security.",2 bedrooms,2 bathrooms,Not available,Kilimani,Kilimani,,"24-hour Electricity, Kitchen Shelf, Wardrobe, Balcony, Dining Area, Tiled Floor, Pre-Paid Meter, Kitchen Cabinets, Wi-Fi, Hot Water",Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet

|



Service Charge Included","Balcony

|



Gym

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Electric Fence

|



Staff Quarters

|



Borehole

|



Garden

|



Wheelchair Access

|



Kids Play Area",,
"4bdrm Duplex in Valley Arcade, Lavington for rent",Duplex,"Lavington newly build ultra modern spacious 4bedroom plus Dsq all en-suite duplex apartment for rent and sale.
- High quality finishes
- Spacious living room with balcony
- Dining room
- Fitted kitchen with pantry
- Laundry area
- Visitors cloakroom
- Family room
- Walk in closets
- Mahogany floors
- Rooftop swimming pool
- Gym
- Backup generator
- Kids play area
- Borehole
- Lifts
- Parking",4 bedrooms,4 bathrooms,Not available,Lavington Nairobi,Valley Arcade,270,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



BBQ

|



Parking

|



Staff Quarters

|



Borehole

|



Garden",,
3bdrm Apartment in Langata for rent,Apartment,"This gorgeous and very spacious 3 bedroom master ensuite apartment on the 1st floor in a very secure and quiet apartment complex with only 3 houses with excellent security and ample vehicle parking space is up for rent.
The apartment is within an estate setting and has WiFi connectivity from 3 major ISPs and has easy access to public transport, schools and many social amenities.
It has a large well designed kitchen with a spacious living room and a separate bathroom and toilet for the other 2 bedrooms.
It is available for rent immediately.
Rent is inclusive of service charge.
Please call us on",3 bedrooms,2 bathrooms,Not available,Upper langata,"150
     
      sqm",,Unfurnished,2,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"En Suite

|



Backup Generator

|



Fibre Internet

|



Walk In Closet

|



Service Charge Included","BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Balcony

|



Gym

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Kids Play Area

|



Gated Community",,
"3bdrm Apartment in Sandalwood Court, Kilimani for Rent",Apartment,"Sandalwood Court is located ine Kilimani off Lenana Road afew meters away from Yaya Center.
The Apartment are in asecure, Serene and quiet Environment.
They are 3Bedroomed muster ensuite with Dsqs, the Built up area is 2000Sqft approximately.
The Apartments are spacious and well ventillated with fitted inverters.
They are well designed in a compound of few Blocks and Units .
The Apartments are strategically positioned in a friendly and secure Neighborhood, close to Yaya Center, Hospitals, Schools and Banks.
FEATURES
-Muster ensuite
-Built in Wardrobes
-Seperate Lounge and Dinning area.
-Water tanks with capacity of 1000 liters for each Apartment.
-Solar Water heating.
-2No parking space.
-Visitors parking.
-24hr security services
-Electric fencing and perimeter wall
AMENITIES
-Swimming pool
-Back up generator.
-Water Borehole.",3 bedrooms,3 bathrooms,Not available,Off Lenana Road,Sandalwood Court,102,Renovated,Unfurnished,,0,Pets Allowed,"security, Power bills, pool and caretakers salary",,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



BBQ

|



Parking

|



Staff Quarters

|



Borehole

|



Garden",,
3bdrm Maisonette in BuruBuru for Rent,Maisonette,"3bedroom maisonette own compound, morden finishing, tiled floor",3 bedrooms,3 bathrooms,Not available,buruburu,"2800
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,25/03/2024,"Garden

|



Parking",Not available,,
Spacious Studio In Lavington For Rent,Mini Flat,This is a well maintained studio located in Lavington area it is well kept clean and well maintained compound with perfect security,1 bedroom,1 bathroom,Not available,3,Unfurnished,,Yes,Not available,,Not available,Not available,Not available,,Not available,kenya,,,29/04/2024,"Walk In Closet

|



Fibre Internet

|



Furnished

|



En Suite

|



Backup Generator

|



Service Charge Included

|



Alarm","Garden

|



Wheelchair Access

|



Swimming Pool

|



Borehole

|



Electric Fence

|



Pet Friendly

|



Parking

|



CCTV

|



Lift/Elevator

|



Kids Play Area

|



Gated Community

|



Gym

|



Balcony",,
"1bdrm Apartment in Kokotoni Gardens, Tezo for rent",Apartment,"Tezo KILIFI
It's the one bedroom you have been looking for now available
Features:
Highly secured environment. With a wall fence all around the property. 
Two toilets in the apartment
 Mature manicured gardens 
Restaurant within and neighboring the property
 Frist row on the road (easily accessible from Kilifi- Malindi highway) 
 Peaceful and tranquil environment
 Enough parking space. 
This is a place you would love to run home to.",1 bedroom,1 bathroom,Not available,Tezo Kokotoni,Kokotoni Gardens,1000,Fairly Used,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,23/04/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Serviced

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Gym

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area

|



Pet Friendly",,
2bdrm Apartment in Kilimani for rent,Apartment,"Newly built 2bedroom for rent and a small servant quarter for rent in kilimani.It has swimmingpool ,fully equipped gym,treated borehole,ready for occupation...",2 bedrooms,3 bathrooms,Not available,Kilimani,Kilimani,350,Newly-Built,Unfurnished,,Not available,3,Not available,,Not available,kenya,,,11/05/2024,"Fibre Internet

|



Service Charge Included","Parking

|



Garden

|



Electric Fence

|



CCTV

|



Gated Community

|



Wheelchair Access",,
Furnished Studio Apartment in Kilimani for rent,Studio Apartment,"Studio fully furnished, located in a queit and convenient location.",1 bedroom,1 bathroom,Not available,Kilimani,"750
     
      sqm",,Furnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Fibre Internet

|



Service Charge Included","Balcony

|



Gated Community

|



Pet Friendly

|



Garden

|



Parking",,
4bdrm Maisonette in Kitengela for rent,Maisonette,"4Bedroom Mansion To Let
 Price Guide Ksh 45,000",4 bedrooms,3 bathrooms,Not available,Kitengela,"145
     
      sqm",,Unfurnished,1000,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Serviced","Balcony

|



Garden

|



Borehole

|



Parking

|



Gated Community

|



Kids Play Area",,
"3bdrm Apartment in Apple Tree, Hotel 67 Area for rent",Apartment,"These are the newly built apartments in Syokimau with phase 1 fully sold out and occupied.
Phase having been completed in August 2023, it provide better features in the house and more spacious units as compared to phase 1.
Some features may include:
Spacious Sitting and dining areas
Balconies
Laundry areas
Qaulity finishing,tiling, well ventilated, big windows to allow good lighting in the house.
The specific unit is available to let and let for occupation immediately.
If interested call/WhatsApp the contact provided on this platform.",3 bedrooms,2 bathrooms,Not available,Mombasa Road,Apple Tree,143,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet","BBQ

|



Parking

|



Balcony

|



Borehole

|



Garden",,
