property_name,Estate_name,property_address,property_location
"4,800 ft Office with Service Charge Included",Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Office with Service Charge Included,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment with Borehole,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 1 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
5 Bed House with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 1 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
